Date,Open,High,Low,Close,Adj Close,Volume
15/4/2020,0.18536,0.189266,0.181155,0.18127,0.18127,1963736221
16/4/2020,0.181254,0.191235,0.177414,0.190104,0.190104,2610251456
17/4/2020,0.181254,0.191235,0.18982,0.194925,0.190104,1912728846
18/4/2020,0.189911,0.195356,0.18982,0.194925,0.194925,1918245143
19/4/2020,0.195004,0.196344,0.190793,0.190859,0.190859,1904866741
20/4/2020,0.190821,0.1949,0.181831,0.18349,0.18349,2364973860
21/4/2020,0.183337,0.185644,0.182762,0.184328,0.184328,1912728846
22/4/2020,0.184175,0.189676,0.18312,0.18797,0.18797,1783803231
23/4/2020,0.187889,0.19479,0.186766,0.191711,0.191711,2271111354
24/4/2020,0.191876,0.196722,0.19171,0.193665,0.193665,1853837706
25/4/2020,0.193685,0.196545,0.19314,0.195054,0.195054,1648491142
26/4/2020,0.195033,0.197215,0.194504,0.196805,0.196805,1692427521
27/4/2020,0.1967,0.199275,0.195437,0.197978,0.197978,1792695610
28/4/2020,0.198046,0.218108,0.196372,0.215484,0.215484,2515531348
29/4/2020,0.215562,0.229627,0.213436,0.227432,0.227432,3041995823
30/4/2020,0.227169,0.235703,0.211577,0.212761,0.212761,3145263527
1/5/2020,0.212858,0.224771,0.212795,0.219248,0.219248,2306876493
2/5/2020,0.219275,0.225606,0.217248,0.223914,0.223914,2170661654
3/5/2020,0.224064,0.22634,0.217737,0.219414,0.219414,2182399826
4/5/2020,0.219451,0.220608,0.210598,0.218963,0.218963,2462194723
5/5/2020,0.21891,0.221752,0.215441,0.216463,0.216463,2104127661
6/5/2020,0.216284,0.222338,0.21521,0.21521,0.21521,2159327467
7/5/2020,0.215492,0.220939,0.21304,0.218917,0.218917,2582702615
8/5/2020,0.218837,0.221909,0.215489,0.219827,0.219827,2460030844
9/5/2020,0.219663,0.224728,0.216803,0.216902,0.216902,2543805062
10/5/2020,0.217133,0.217133,0.190549,0.198176,0.198176,3067472277
11/5/2020,0.198162,0.200186,0.188483,0.194064,0.194064,2470709527
12/5/2020,0.194241,0.199801,0.192729,0.197637,0.197637,2056508741
13/5/2020,0.197561,0.203411,0.196607,0.20148,0.20148,1947109951
14/5/2020,0.201341,0.204586,0.199653,0.203129,0.203129,2154131805
15/5/2020,0.20294,0.203416,0.197301,0.198911,0.198911,2046326382
16/5/2020,0.199081,0.202101,0.197924,0.200032,0.200032,1794850124
17/5/2020,0.200536,0.203872,0.199713,0.201255,0.201255,1752063749
18/5/2020,0.201353,0.206325,0.201024,0.205176,0.205176,1968537517
19/5/2020,0.205251,0.205327,0.201947,0.204028,0.204028,1973351018
20/5/2020,0.203935,0.205628,0.200245,0.201707,0.201707,1933723829
21/5/2020,0.201832,0.202703,0.191448,0.195509,0.195509,1753934487
22/5/2020,0.195535,0.201745,0.193609,0.200343,0.200343,1852264124
23/5/2020,0.200418,0.201769,0.197664,0.198856,0.198856,1459815520
24/5/2020,0.198911,0.201453,0.195403,0.195431,0.195431,1447641496
25/5/2020,0.195285,0.197629,0.192201,0.197327,0.197327,1671594106
26/5/2020,0.197273,0.197611,0.193404,0.193975,0.193975,1585691777
27/5/2020,0.19392,0.198821,0.193764,0.197857,0.197857,1535112977
28/5/2020,0.197924,0.200902,0.195621,0.200595,0.200595,1615654544
29/5/2020,0.200669,0.202827,0.197129,0.198348,0.198348,1477357235
30/5/2020,0.198349,0.206474,0.196925,0.20622,0.20622,1683149544
31/5/2020,0.206236,0.211519,0.201749,0.202906,0.202906,1737139256
1/6/2020,0.202834,0.210731,0.202112,0.210249,0.210249,1702904267
2/6/2020,0.210182,0.214335,0.200696,0.202764,0.202764,1850078103
3/6/2020,0.202901,0.204478,0.20127,0.203663,0.203663,1335828090
4/6/2020,0.203719,0.206494,0.201864,0.204982,0.204982,1368430496
5/6/2020,0.205044,0.206744,0.202069,0.204092,0.204092,1264429379
6/6/2020,0.204208,0.205002,0.202432,0.203142,0.203142,1048611012
7/6/2020,0.20318,0.204674,0.199672,0.203449,0.203449,1141964765
8/6/2020,0.203426,0.204178,0.201667,0.203771,0.203771,1042709461
9/6/2020,0.203809,0.204555,0.200992,0.202013,0.202013,1108186467
10/6/2020,0.201976,0.203485,0.20059,0.202938,0.202938,1106635421
11/6/2020,0.202916,0.203701,0.18952,0.19018,0.19018,1354031836
12/6/2020,0.190165,0.196277,0.188858,0.193943,0.193943,1157151094
13/6/2020,0.193989,0.194205,0.189932,0.193106,0.193106,1050423848
14/6/2020,0.193179,0.193667,0.191067,0.191617,0.191617,1023497502
15/6/2020,0.191617,0.193752,0.183816,0.193074,0.193074,1315332448
16/6/2020,0.193064,0.19327,0.190029,0.191307,0.191307,1158919075
17/6/2020,0.191496,0.1973,0.190306,0.193443,0.193443,1323161116
18/6/2020,0.193455,0.193457,0.189626,0.190957,0.190957,1045504279
19/6/2020,0.190924,0.191168,0.186534,0.18679,0.18679,1097387856
20/6/2020,0.18679,0.189806,0.186086,0.1885,0.1885,966690908
21/6/2020,0.188468,0.189103,0.185501,0.18561,0.18561,893641269
22/6/2020,0.185665,0.19008,0.185594,0.189272,0.189272,1209278721
23/6/2020,0.189295,0.189973,0.187062,0.18868,0.18868,1093605185
24/6/2020,0.1887,0.190857,0.18305,0.184272,0.184272,1138044691
25/6/2020,0.184076,0.184982,0.180956,0.18357,0.18357,1055030012
26/6/2020,0.183472,0.185867,0.179898,0.182671,0.182671,1269492277
27/6/2020,0.183096,0.185064,0.174489,0.176851,0.176851,1142888783
28/6/2020,0.176872,0.18051,0.175249,0.177692,0.177692,1139431604
29/6/2020,0.177648,0.179559,0.176243,0.177959,0.177959,1164729579
30/6/2020,0.177701,0.178355,0.175005,0.17587,0.17587,1010363683
1/7/2020,0.17575,0.178491,0.174703,0.176976,0.176976,1115989502
2/7/2020,0.177155,0.178338,0.174234,0.177244,0.177244,1053683055
3/7/2020,0.177265,0.178443,0.17513,0.176336,0.176336,976699960
4/7/2020,0.176262,0.179679,0.176196,0.177984,0.177984,1000145449
5/7/2020,0.177914,0.178729,0.17479,0.177017,0.177017,969679447
6/7/2020,0.177017,0.189148,0.176471,0.188567,0.188567,1423923826
7/7/2020,0.188567,0.189005,0.182713,0.184787,0.184787,1067033698
8/7/2020,0.184814,0.205727,0.1842,0.204692,0.204692,1878269321
9/7/2020,0.204598,0.210292,0.19856,0.20291,0.20291,1809158571
10/7/2020,0.202842,0.202842,0.193318,0.198652,0.198652,1161794555
11/7/2020,0.198724,0.20361,0.19864,0.201197,0.201197,996288334
12/7/2020,0.201217,0.203251,0.198361,0.200538,0.200538,850245455
13/7/2020,0.200538,0.205161,0.19594,0.198575,0.198575,1197056593
14/7/2020,0.198495,0.199556,0.195536,0.198809,0.198809,1197284578
15/7/2020,0.198774,0.199623,0.196693,0.197111,0.197111,1067413757
16/7/2020,0.197021,0.197416,0.190181,0.194048,0.194048,1055841762
17/7/2020,0.194051,0.197143,0.191723,0.194281,0.194281,936113620
18/7/2020,0.194349,0.201602,0.193937,0.199341,0.199341,870207693
19/7/2020,0.199404,0.201336,0.196133,0.199135,0.199135,828392852
20/7/2020,0.199142,0.199775,0.193704,0.195065,0.195065,848780531
21/7/2020,0.194871,0.200471,0.194008,0.198988,0.198988,928954951
22/7/2020,0.199029,0.203739,0.196883,0.203342,0.203342,935529987
23/7/2020,0.203331,0.209244,0.201667,0.207578,0.207578,1443659224
24/7/2020,0.207814,0.208013,0.202637,0.204049,0.204049,1294356195
25/7/2020,0.203959,0.216598,0.203757,0.214102,0.214102,1225769666
26/7/2020,0.213994,0.224031,0.212792,0.214982,0.214982,1448138807
27/7/2020,0.214948,0.227415,0.211676,0.223672,0.223672,1762737985
28/7/2020,0.223889,0.233693,0.217894,0.230277,0.230277,1754695828
29/7/2020,0.230148,0.249353,0.230079,0.243099,0.243099,2022835116
30/7/2020,0.243254,0.248586,0.238768,0.244522,0.244522,1650758400
31/7/2020,0.244649,0.259601,0.2422,0.258904,0.258904,1854522560
1/8/2020,0.258904,0.295759,0.255844,0.289529,0.289529,3167874461
2/8/2020,0.289742,0.322561,0.275593,0.287062,0.287062,4780736538
3/8/2020,0.28749,0.318866,0.28519,0.30994,0.30994,3340814994
4/8/2020,0.309935,0.318296,0.29403,0.300493,0.300493,2746437659
5/8/2020,0.300783,0.307874,0.29272,0.303311,0.303311,2048410252
6/8/2020,0.303142,0.310062,0.298339,0.303584,0.303584,1946386689
7/8/2020,0.303464,0.309324,0.287329,0.294664,0.294664,4278382957
8/8/2020,0.294905,0.298728,0.291252,0.294022,0.294022,1355768291
9/8/2020,0.294618,0.298061,0.283924,0.288653,0.288653,1391288259
10/8/2020,0.288569,0.299405,0.288569,0.294659,0.294659,2108627560
11/8/2020,0.294683,0.305783,0.274603,0.284449,0.284449,4542499150
12/8/2020,0.284376,0.289849,0.274191,0.28493,0.28493,2001506679
13/8/2020,0.28493,0.298182,0.274354,0.297807,0.297807,2061442814
14/8/2020,0.297533,0.306374,0.293853,0.300371,0.300371,2246050523
15/8/2020,0.300246,0.304188,0.294891,0.299661,0.299661,2260353636
